time,close
1995-01-16,2059.0
1995-01-23,1983.0
1995-01-30,1959.0
1995-02-06,1980.0
1995-02-13,1992.0
1995-02-20,2027.0
1995-02-27,2066.0
1995-03-06,2176.0
1995-03-13,2266.0
1995-03-20,2289.0
1995-03-27,2209.0
1995-04-03,2205.0
1995-04-10,2247.0
1995-04-17,2299.0
1995-04-24,2347.0
1995-05-01,2343.0
1995-05-08,2299.0
1995-05-15,2208.0
1995-05-22,2129.0
1995-05-29,2055.0
1995-06-05,1995.0
1995-06-12,1997.0
1995-06-19,2001.0
1995-06-26,1979.0
1995-07-03,1937.0
1995-07-10,1958.0
1995-07-17,1983.0
1995-07-24,2016.0
1995-07-31,2059.0
1995-08-07,2084.0
1995-08-14,2107.0
1995-08-21,2122.0
1995-08-28,2096.0
1995-09-04,2048.0
1995-09-11,2000.0
1995-09-18,1979.0
1995-09-25,1920.0
1995-10-02,1828.0
1995-10-09,1745.0
1995-10-16,1656.0
1995-10-23,1559.0
1995-10-30,1542.0
1995-11-06,1636.0
1995-11-13,1748.0
1995-11-20,1707.0
1995-11-27,1634.0
1995-12-04,1606.0
1995-12-11,1644.0
1995-12-18,1623.0
1995-12-25,1604.0
1996-01-01,1583.0
1996-01-08,1550.0
1996-01-15,1538.0
1996-01-22,1529.0
1996-01-29,1484.0
1996-02-05,1453.0
1996-02-12,1437.0
1996-02-19,1400.0
1996-02-26,1357.0
1996-03-04,1350.0
1996-03-11,1363.0
1996-03-18,1422.0
1996-03-25,1448.0
1996-04-01,1458.0
1996-04-08,1450.0
1996-04-15,1448.0
1996-04-22,1465.0
1996-04-29,1458.0
1996-05-06,1445.0
1996-05-13,1417.0
1996-05-20,1379.0
1996-05-27,1339.0
1996-06-03,1322.0
1996-06-10,1276.0
1996-06-17,1232.0
1996-06-24,1193.0
1996-07-01,1157.0
1996-07-08,1116.0
1996-07-15,1106.0
1996-07-22,1078.0
1996-07-29,1062.0
1996-08-05,1062.0
1996-08-12,1101.0
1996-08-19,1119.0
1996-08-26,1100.0
1996-09-02,1063.0
1996-09-09,1030.0
1996-09-16,1001.0
1996-09-23,998.0
1996-09-30,1023.0
1996-10-07,1063.0
1996-10-14,1145.0
1996-10-21,1256.0
1996-10-28,1323.0
1996-11-04,1477.0
1996-11-11,1515.0
1996-11-18,1447.0
1996-11-25,1423.0
1996-12-02,1453.0
1996-12-09,1501.0
1996-12-16,1523.0
1996-12-23,1517.0
1996-12-30,1511.0
1997-01-06,1507.0
1997-01-13,1483.0
1997-01-20,1407.0
1997-01-27,1367.0
1997-02-03,1415.0
1997-02-10,1460.0
1997-02-17,1465.0
1997-02-24,1443.0
1997-03-03,1430.0
1997-03-10,1475.0
1997-03-17,1515.0
1997-03-24,1513.0
1997-03-31,1467.0
1997-04-07,1427.0
1997-04-14,1345.0
1997-04-21,1274.0
1997-04-28,1260.0
1997-05-05,1275.0
1997-05-12,1283.0
1997-05-19,1291.0
1997-05-26,1274.0
1997-06-02,1247.0
1997-06-09,1266.0
1997-06-16,1283.0
1997-06-23,1311.0
1997-06-30,1343.0
1997-07-07,1371.0
1997-07-14,1368.0
1997-07-21,1310.0
1997-07-28,1279.0
1997-08-04,1280.0
1997-08-11,1293.0
1997-08-18,1304.0
1997-08-25,1330.0
1997-09-01,1323.0
1997-09-08,1293.0
1997-09-15,1283.0
1997-09-22,1277.0
1997-09-29,1286.0
1997-10-06,1328.0
1997-10-13,1352.0
1997-10-20,1334.0
1997-10-27,1318.0
1997-11-03,1289.0
1997-11-10,1242.0
1997-11-17,1180.0
1997-11-24,1175.0
1997-12-01,1200.0
1997-12-08,1287.0
1997-12-15,1253.0
1997-12-22,1231.0
1997-12-29,1231.0
1998-01-05,1224.0
1998-01-12,1175.0
1998-01-19,1099.0
1998-01-26,1039.0
1998-02-02,938.0
1998-02-09,936.0
1998-02-16,1017.0
1998-02-23,1080.0
1998-03-02,1102.0
1998-03-09,1091.0
1998-03-16,1035.0
1998-03-23,982.0
1998-03-30,955.0
1998-04-06,966.0
1998-04-13,992.0
1998-04-20,1011.0
1998-04-27,1001.0
1998-05-04,1004.0
1998-05-11,983.0
1998-05-18,966.0
1998-05-25,946.0
1998-06-01,900.0
1998-06-08,894.0
1998-06-15,904.0
1998-06-22,869.0
1998-06-29,838.0
1998-07-06,842.0
1998-07-13,847.0
1998-07-20,837.0
1998-07-27,825.0
1998-08-03,792.0
1998-08-10,783.0
1998-08-17,806.0
1998-08-24,817.0
1998-08-31,827.0
1998-09-07,855.0
1998-09-14,882.0
1998-09-21,917.0
1998-09-28,967.0
1998-10-05,1000.0
1998-10-12,1005.0
1998-10-19,978.0
1998-10-26,955.0
1998-11-02,959.0
1998-11-09,965.0
1998-11-16,962.0
1998-11-23,945.0
1998-11-30,908.0
1998-12-07,856.0
1998-12-14,820.0
1998-12-21,794.0
1998-12-28,791.0
1999-01-04,791.0
1999-01-11,778.0
1999-01-18,843.0
1999-01-25,827.0
1999-02-01,800.0
1999-02-08,812.0
1999-02-15,843.0
1999-02-22,964.0
1999-03-01,956.0
1999-03-08,997.0
1999-03-15,982.0
1999-03-22,948.0
1999-03-29,891.0
1999-04-05,860.0
1999-04-12,887.0
1999-04-19,959.0
1999-04-26,1091.0
1999-05-03,1120.0
1999-05-10,1083.0
1999-05-17,1027.0
1999-05-24,982.0
1999-05-31,998.0
1999-06-07,1027.0
1999-06-14,961.0
1999-06-21,984.0
1999-06-28,955.0
1999-07-05,986.0
1999-07-12,987.0
1999-07-19,973.0
1999-07-26,1003.0
1999-08-02,1033.0
