time,"Natural_gas,_US","Shrimps,_Mexican",Barley,Soybean_oil,Platinum,close,Aluminum,"Tobacco,_US_import_u.v.",Orange,"Sugar,_EU"
2014-03-01,4.88,17.09,177.75,996.67,1451.62,15678.1,1705.37,5083.59,0.81,0.45
2014-04-01,4.63,17.66,181.42,1001.69,1430.33,17373.6,1810.67,5089.1,0.85,0.45
2014-05-01,4.56,17.97,181.88,961.81,1456.27,19401.08,1751.05,5117.56,0.84,0.45
2014-06-01,4.57,18.15,160.29,925.82,1452.76,18628.81,1838.95,4996.08,0.83,0.44
2014-07-01,4.01,18.98,138.71,897.43,1492.18,19117.65,1948.3,4991.26,0.79,0.44
2014-08-01,3.88,19.25,118.5,861.77,1446.33,18600.2,2030.49,4919.97,0.77,0.43
2014-09-01,3.92,18.35,105.64,839.82,1359.48,18034.8,1990.43,4923.77,0.77,0.42
2014-10-01,3.77,17.5,112.07,833.03,1259.76,15812.37,1946.19,4943.23,0.73,0.41
2014-11-01,4.1,17.31,113.91,825.98,1208.32,15807.05,2055.55,4922.28,0.72,0.41
2014-12-01,3.43,17.38,123.09,814.55,1215.32,15962.05,1909.46,4926.23,0.77,0.4
2015-01-01,2.97,17.42,128.14,796.58,1242.45,14849.19,1814.72,4922.86,0.76,0.38
2015-02-01,2.85,17.48,125.39,762.61,1197.16,14573.84,1817.82,4910.97,0.7,0.37
2015-03-01,2.8,17.45,126.31,749.93,1138.64,13755.5,1773.86,4961.57,0.63,0.35
2015-04-01,2.58,16.93,129.06,747.74,1151.29,12830.92,1819.19,4986.71,0.61,0.35
2015-05-01,2.84,15.86,126.77,785.13,1140.4,13511.34,1804.04,5018.01,0.61,0.36
2015-06-01,2.77,13.79,118.96,788.21,1088.82,12825.23,1687.73,4947.23,0.63,0.37
2015-07-01,2.83,12.26,124.01,752.32,1009.27,11413.1,1639.5,4878.08,0.64,0.36
2015-08-01,2.76,10.39,110.69,728.33,984.1,10386.0,1548.13,4925.58,0.68,0.36
2015-09-01,2.65,8.77,109.77,720.4,964.38,9937.55,1589.6,4887.36,0.63,0.37
2015-10-01,2.32,8.71,118.04,743.3,976.91,10316.83,1516.49,4858.43,0.66,0.37
2015-11-01,2.08,9.63,119.42,727.34,885.2,9244.33,1467.89,4813.09,0.77,0.35
2015-12-01,1.92,9.89,119.42,765.7,859.82,8707.79,1497.2,4789.65,0.77,0.36
2016-01-01,2.27,10.47,118.5,736.03,855.25,8507.29,1481.1,4730.96,0.69,0.35
2016-02-01,1.96,10.8,114.82,767.24,919.35,8298.5,1531.26,4670.33,0.69,0.36
2016-03-01,1.7,10.67,112.99,765.61,967.73,8717.25,1531.01,4569.68,0.68,0.36
2016-04-01,1.9,10.53,112.53,794.13,994.19,8878.86,1571.23,4625.0,0.71,0.37
2016-05-01,1.92,10.47,112.07,795.64,1035.86,8660.35,1550.63,4680.36,0.76,0.37
2016-06-01,2.57,10.47,108.39,799.91,984.14,8928.35,1593.51,4809.95,0.88,0.37
2016-07-01,2.79,10.47,107.02,796.67,1087.5,10262.86,1629.05,4856.58,0.97,0.36
2016-08-01,2.79,10.84,95.53,824.42,1121.65,10335.99,1639.28,4889.71,0.96,0.37
2016-09-01,2.97,11.88,89.56,837.21,1046.71,10191.78,1592.36,4957.02,1.05,0.37
2016-10-01,2.95,12.29,91.86,861.26,959.14,10259.74,1665.9,4906.03,1.06,0.36
2016-11-01,2.5,12.49,91.86,885.11,955.14,11128.91,1737.11,4878.28,1.14,0.35
2016-12-01,3.58,13.2,91.86,916.7,918.38,10972.27,1727.74,4912.06,1.08,0.34
2017-01-01,3.26,13.41,91.86,876.85,971.15,9971.46,1791.24,4904.88,0.94,0.35
2017-02-01,2.82,13.64,91.86,839.6,1007.63,10643.3,1860.75,4870.49,0.9,0.35
2017-03-01,2.89,13.78,93.7,814.94,962.87,10204.66,1901.47,4864.71,0.92,0.35
2017-04-01,3.08,13.78,94.16,794.04,960.84,9609.28,1921.22,4708.62,0.85,0.35
2017-05-01,3.12,14.29,94.16,825.06,930.27,9155.12,1913.02,4582.06,0.76,0.36
